epoch,acc,loss,val_acc,val_loss
0,0.5291005322147929,2.9198724693722196,0.49841270465699455,2.187754021750556
1,0.6603174613266395,1.7561751812223405,0.5746031857672191,1.28200463170097
2,0.7322751330950904,1.2732212944005532,0.6412698371069772,1.103499560129075
3,0.738095241248923,1.098421682756414,0.7904761972881499,1.0357293448750935
4,0.7497354487262705,1.004055634692863,0.6349206301901076,1.0155631729534693
5,0.7544973580925552,0.9604065995367747,0.6857142845789591,1.0426407995678129
6,0.749735452195324,0.9249975419549085,0.6666666657205612,1.009112836822631
7,0.7597883640142976,0.8961655566932032,0.6634920636812845,1.0218166765712557
8,0.7566137572444936,0.8678545604937922,0.6698412620832049,1.0005856619940863
9,0.7582010585795004,0.8495839734872183,0.8031746092296782,1.023676958349016
10,0.7544973546235019,0.8565668104186891,0.6603174550192696,1.0460995558708432
11,0.7455026450611296,0.8419665918148383,0.723809522295755,1.0631353665911962
12,0.7603174596236496,0.8387973131956877,0.7523809463258774,1.042499720104157
13,0.760317463092703,0.8422187248235027,0.6730158707452198,1.0470682060907757
14,0.7407407391638983,0.8292539914449056,0.6952380925889999,1.0382027162445917
15,0.7465608470023625,0.8310167874608722,0.7714285774836465,1.0327405617350625
16,0.7507936503521349,0.8325721835963941,0.7714285718070136,1.0333960207681807
17,0.7412698423420941,0.8299382243837629,0.7365079361294943,1.0316754579544067
18,0.7291005288482343,0.8291227771806969,0.6444444448228867,1.039610124769665
19,0.7523809504256678,0.8242213675584743,0.7269841281194536,1.044072547602275
20,0.7608465634325825,0.8227264578380282,0.8031746101757836,1.0432168945433602
21,0.7650793689899343,0.826485642365047,0.6539682528329274,1.0440063391413008
22,0.7539682542836225,0.8213707892983048,0.7365079408600217,1.044600288073222
23,0.7402116407162298,0.8223173318716585,0.6190476152631972,1.0503274727435339
24,0.7523809535793526,0.8253150926065193,0.7174603201094127,1.049665742923343
25,0.7534391577281649,0.8246123311380861,0.7111111056236994,1.0440433148353818
26,0.7407407407407407,0.8253495090852969,0.6857142845789591,1.0551972753471799
27,0.7455026431689187,0.8208676327473272,0.7079365092610556,1.058141854547319
28,0.7656084633378125,0.8224542970379825,0.7841269865868583,1.0517906338449508
29,0.7412698429728312,0.8206329850292711,0.7111111131925432,1.0467471858811757
30,0.7534391507900581,0.820807526508967,0.726984127173348,1.0486202344061837
31,0.7386243378043805,0.8211045038132441,0.7746031747923957,1.0481160160094973
32,0.772486773432878,0.820704631704502,0.8285714340588403,1.0520957684706127
33,0.7534391523669006,0.8218260546209951,0.7079365102071611,1.0654267943094646
34,0.735978834528141,0.8235326869777901,0.8412698497847905,1.0679929554462433
35,0.7529100520270211,0.8247150204799794,0.7015873051825023,1.0434178236931089
36,0.7560846562738772,0.8171948633444983,0.7619047628508674,1.0521129606262085
37,0.7634920638705057,0.8167473396296223,0.8285714312205239,1.0465250275437794
38,0.7402116407162298,0.8187467922609319,0.6888888866182358,1.0738977737843045
39,0.7402116451313887,0.818101127153982,0.7809523798170543,1.0614150653755854
40,0.7619047639546571,0.8187157634704832,0.6158730189005533,1.0605897652724432
41,0.765079364259407,0.8198586897875266,0.8603174629665556,1.0778539213869307
42,0.7634920626090317,0.8186649894588208,0.7079364988538954,1.0655821382053314
43,0.7507936494060294,0.817851049559457,0.6857142930939084,1.0591183579157268
44,0.7497354499877446,0.820563707717512,0.7968253956900703,1.0611240783381084
45,0.7624338628753783,0.8201141928238843,0.8095238133082314,1.056420480448102
46,0.7735449734818999,0.8328491988636199,0.7873015905183459,1.0695902388247231
47,0.7518518516626308,0.8216536445592446,0.612698409292433,1.054985372320054
48,0.7735449744280053,0.8168734684192315,0.726984129065559,1.0668617486953735
49,0.7634920679702961,0.8160225950851643,0.6349206349206349,1.0596647617362795
